# created: Sat Jun 30 03:00:01 2018
# <aid>|<type>|<language>|<title>
# type: 1=primary title (one per anime), 2=synonyms (multiple per anime), 3=shorttitles (multiple per anime), 4=official title (one per language)
2910|2|hu|A párbaj mesterei
3349|4|pt|A Patrulha U
7331|2|en|A Penguin`s Memories: A Tale of Happiness
5901|2|en|A Penguin`s Troubles
7597|2|en|A Penguin`s Troubles Max
2220|4|pt|A Pequena Sereia
5588|1|x-jat|A Piece of Phantasmagoria
13257|4|en|A Place Further Than the Universe
11399|4|ja|A PLAY
11399|1|x-jat|A Play
3489|4|fr|À plein gaz
13323|2|en|A Portrait of Jianghu: Mourning Toast
13042|2|en|A Portrait of Jianghu: Spirit Master
2482|4|pt-BR|A Princesa e o Cavaleiro
7478|4|pt-BR|A Princesa e o Piloto
7|4|pt|A Princesa Mononoke
4953|4|pt|A Rã Valente
181|4|pt-BR|A Rosa de Versalhes
10533|2|en|A School Where Love Is Unnecessary
6200|2|en|A Sea Turtle and a Boy
2738|4|pt|A Senhora Pimentinha
6929|2|en|A Ship of Oranges
10937|4|en|A Silent Voice
11352|4|en|A Sister`s All You Need.
11352|4|de|A Sister`s All You Need.
11873|1|x-jat|A Size Classmate
13364|4|ja|A smart experiment
13364|1|x-jat|A Smart Experiment
10082|4|en|A Starry Tale
11711|2|en|A Story in Summertime
13420|2|en|A Story of How a Russian Girl Suddenly Became a Part of My Back-Country Household and How Lots of Sex Ensued
6845|2|en|A Story of Tobacco
5192|2|en|A Strange Kind of Woman
6262|2|en|A Summer Day`s Dream
7877|2|en|A Summer Night`s Dream
9391|2|en|A Sumo Wrestler`s Tale
1392|4|pt|A Super Porca
702|4|en|A Tail of Two Sisters
5612|2|en|A Tale of Seven Cities - the Arctic Front
14045|1|x-zht|A Tang Qiyu
335|4|hu|A Tenger Zúgása
8106|2|en|A Thirty-Year Old`s Health and Physical Education
3683|2|en|A Thousand & One Nights
3683|2|en|A Thousand and One Nights
5499|2|en|A Thousand and One Nights (1998)
5382|2|en|A Time Slip of 10000 Years: Prime Rose
